Novel_Name,Series_Name,Author_Name,Genre,Average_Rating,No_of_Ratings,No_of_Reviews,No_of_Votes,Publish_Date,Publish_year
The Namatjira Connection ,Genevieve Lenard,Estelle Ryan ,Suspence/Thriller,4.29,612,33,62,2023-11-28,2023
Midnight in the Garden of Good and Evil,-,John Berendt,Suspence/Thriller,3.92,266709,11936,6,1994-01-13,1994
The Grifters,-,Jim Thompson,Suspence/Thriller,3.93,11463,576,9,1963-01-01,1963
The Cadaver Factory,-,Kenneth Jarrett Singleton,Suspence/Thriller,4.36,268,2,10,2004-01-01,2004
Adjustment Day,-,Chuck Palahniuk ,Suspence/Thriller,3.18,8674,1099,5,2018-01-05,2018
Plum Island ,John Corey,Nelson DeMille ,Suspence/Thriller,4.07,54207,2631,10,1997-01-04,1997
The Legendary Wolf,-,Ammar Habib ,Suspence/Thriller,4.28,5212,912,15,2019-12-07,2019
The Andromeda Strain ,Andromeda,Michael Crichton,Suspence/Thriller,3.91,253178,5619,69,1969-01-09,1969
The Perfect Daughter,-,D.J.  Palmer ,Suspence/Thriller,3.87,8285,1774,5,2021-04-20,2021
The Sacred Well Murders,-,Susan  Rowland ,Suspence/Thriller,4.31,6267,25,10,2022-01-02,2022
Think Fast or Die,-,Simon W. Clark ,Suspence/Thriller,4.19,123,29,15,2019-07-10,2019
The Pillars of the Earth ,Kingsbridge,Ken Follett ,Suspence/Thriller,4.34,753490,36900,65,1989-01-10,1989
Under the Lake,-,Stuart Woods,Suspence/Thriller,3.88,4958,328,6,1986-01-01,1986
All That Remains ,Kay Scarpetta,Patricia Cornwell ,Suspence/Thriller,4.07,69808,1316,9,1992-11-06,1992
Redemption ,Ryan Drake,Will Jordan ,Suspence/Thriller,4.05,1521,158,5,2012-06-21,2012
The Last Juror,-,John Grisham ,Suspence/Thriller,3.93,98750,2908,9,2004-03-02,2004
Dead Until Dark ,Sookie Stackhouse,Charlaine Harris ,Suspence/Thriller,3.97,536262,20001,18,2001-01-05,2001
Crime and Punishment,-,Fyodor Dostoevsky,Suspence/Thriller,4.26,876645,34380,9,1866-01-01,1866
Congo,-,Michael Crichton,Suspence/Thriller,3.62,170182,2756,12,1980-01-01,1980
The Bourne Supremacy ,Jason Bourne,Robert Ludlum,Suspence/Thriller,4.11,178856,1386,64,1986-11-02,1986
Enemy in Blue ,The Cruz Marquez Thrillers,Derek Blass ,Suspence/Thriller,3.43,457,77,15,2011-01-05,2011
Glamorama,-,Bret Easton Ellis,Suspence/Thriller,3.52,23078,1087,7,1998-01-01,1998
Monkeewrench ,Monkeewrench,P.J. Tracy ,Suspence/Thriller,4.11,13345,1149,6,2003-01-01,2003
Franz Kafka's The Castle,-,David Fishelson ,Suspence/Thriller,4.1,28067,239,6,2003-01-01,2003
To Kill a Mockingbird,-,Harper Lee,Suspence/Thriller,4.26,5983234,114904,18,1960-11-07,1960
Odin ,Alex Mason,David Archer,Suspence/Thriller,4.18,11496,300,10,2021-09-21,2021
The Kite Runner,-,Khaled Hosseini ,Suspence/Thriller,4.34,3087026,95727,7,2003-05-29,2003
The Girl on the Train,-,Paula Hawkins ,Suspence/Thriller,3.96,2876890,125237,65,2015-01-13,2015
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,-,David Grann ,Suspence/Thriller,4.15,296040,30322,6,2017-04-18,2017
Frisk,-,Dennis Cooper,Suspence/Thriller,3.66,3085,303,9,1991-01-01,1991
What She Found ,Tracy Crosswhite,Robert Dugoni ,Suspence/Thriller,4.39,21050,864,5,2022-08-23,2022
Reliquary ,Pendergast,Douglas Preston ,Suspence/Thriller,4.03,46171,1852,62,1997-01-01,1997
Brave New World,-,Aldous Huxley,Suspence/Thriller,3.99,1819963,46026,10,1932-01-01,1932
When the Wind Blows ,When the Wind Blows,James Patterson ,Suspence/Thriller,3.93,50541,1824,10,1998-10-28,1998
One Flew Over the Cuckoo's Nest,-,Ken Kesey,Suspence/Thriller,4.2,724349,15510,64,1962-01-01,1962
The Adventures of Armstrong Dent: The Complete First Season,-,Aeyess ,Suspence/Thriller,4.44,27,8,5,2014-12-19,2014
House of Sand and Fog,-,Andre Dubus III,Suspence/Thriller,3.86,132467,4599,18,1999-01-01,1999
The Information,-,Martin Amis,Suspence/Thriller,3.6,6032,372,7,1995-01-01,1995
The Girl Before,-,J.P. Delaney ,Suspence/Thriller,3.7,153476,12990,5,2017-04-04,2017
The Goldfinch,-,Donna Tartt,Suspence/Thriller,3.94,908080,75127,7,2013-09-23,2013
The Innocent ,Will Robie,David Baldacci ,Suspence/Thriller,4.16,104593,5534,10,2012-04-17,2012
Fight Club,-,Chuck Palahniuk ,Suspence/Thriller,4.19,582711,20966,63,1996-08-17,1996
The Demon,-,Hubert Selby Jr.,Suspence/Thriller,3.88,3135,200,11,1976-01-01,1976
Trunk Music ,"Harry Bosch, #5; Harry Bosch Universe",Michael Connelly ,Suspence/Thriller,4.2,68457,2121,22,1997-01-28,1997
The Nowhere Man ,Orphan X,Gregg Andrew Hurwitz ,Suspence/Thriller,4.14,25834,2206,58,2017-01-17,2017
Dark State ,Jason Trapp,Jack     Slater ,Suspence/Thriller,4.43,10317,467,58,2021-12-15,2021
The Clockmaker's Daughter,-,Kate Morton ,Suspence/Thriller,3.75,95633,12393,6,2018-01-09,2018
Ice Hunt,-,James Rollins ,Suspence/Thriller,4.06,18745,654,7,2003-01-07,2003
Still Life ,Chief Inspector Armand Gamache,Louise Penny ,Suspence/Thriller,3.9,242909,19541,21,2005-03-10,2005
Night over Water,-,Ken Follett ,Suspence/Thriller,3.89,26095,1295,6,1991-09-28,1991
The Horror at Murden Cove ,A Thomas Austin Crime Thriller,D.D. Black,Suspence/Thriller,4.39,2089,63,10,2023-06-02,2023
Queer,-,William S. Burroughs,Suspence/Thriller,3.6,13464,750,9,1985-01-11,1985
The Lion ,John Corey,Nelson DeMille ,Suspence/Thriller,4.26,31869,1324,7,2010-08-06,2010
Narcopolis,-,Jeet Thayil,Suspence/Thriller,3.43,7500,876,7,2012-01-31,2012
The Sign of Four ,Sherlock Holmes,Arthur Conan Doyle,Suspence/Thriller,3.9,153483,7527,8,1890-01-02,1890
The Doors of Perception / Heaven and Hell,-,Aldous Huxley,Suspence/Thriller,3.93,46913,1954,8,1956-01-01,1956
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",-,Erik Larson ,Suspence/Thriller,4.0,670119,39620,18,2003-11-02,2003
The Last Run ,Peter Black,David Archer,Suspence/Thriller,4.34,1127,18,57,2023-10-24,2023
The Overlook ,"Harry Bosch, #13; Harry Bosch Universe",Michael Connelly ,Suspence/Thriller,3.99,48958,2335,14,2007-05-22,2007
Crash,-,J.G. Ballard,Suspence/Thriller,3.59,25268,1999,5,1973-06-28,1973
An Unsuitable Job for a Woman ,Cordelia Gray,P.D. James,Suspence/Thriller,3.82,18874,1176,8,1972-01-01,1972
God's Spy ,Father Anthony Fowler,Juan Gómez-Jurado ,Suspence/Thriller,3.81,5962,564,5,2006-01-01,2006
If on a Winter's Night a Traveler,-,Italo Calvino,Suspence/Thriller,4.04,95276,8700,8,1979-02-06,1979
Black Fire,-,William Kely McClung ,Suspence/Thriller,4.3,5910,34,56,2023-02-25,2023
Into the Darkest Corner,-,Elizabeth Haynes ,Suspence/Thriller,4.07,69240,6295,7,2007-02-13,2007
The Name of the Rose,-,Umberto Eco,Suspence/Thriller,4.14,359980,12547,19,1980-01-01,1980
Misery,-,Stephen King ,Suspence/Thriller,4.21,679553,24909,12,1987-08-06,1987
The Alaska Job ,Case Lee,Vince Milam ,Suspence/Thriller,4.47,1414,51,55,2023-05-30,2023
Neuromancer ,Sprawl,William Gibson,Suspence/Thriller,3.9,321124,13588,7,1984-01-01,1984
A Scanner Darkly,-,Philip K. Dick,Suspence/Thriller,4.02,100933,4090,11,1977-01-01,1977
The Return of Sherlock Holmes ,Sherlock Holmes,Arthur Conan Doyle,Suspence/Thriller,4.28,64267,2177,5,1905-01-02,1905
Nutshell,-,Ian McEwan ,Suspence/Thriller,3.68,52219,6370,6,2016-01-09,2016
Burned Out,-,Dean Mafako ,Suspence/Thriller,4.3,6076,54,15,2023-01-16,2023
Darkness at Noon,-,Arthur Koestler,Suspence/Thriller,4.11,30144,2065,9,1940-01-01,1940
The Pit and the Pendulum,-,Edgar Allan Poe,Suspence/Thriller,4.19,56438,991,8,1842-01-01,1842
Sphere,-,Michael Crichton,Suspence/Thriller,3.82,184025,4315,61,1987-01-01,1987
Sidetracked ,Kurt Wallander,Henning Mankell,Suspence/Thriller,4.08,23323,984,6,1995-01-01,1995
Alive: The Story of the Andes Survivors,-,Piers Paul Read,Suspence/Thriller,4.12,74971,1921,12,1974-01-01,1974
Subterranean,-,James Rollins ,Suspence/Thriller,4.02,26238,946,8,1999-01-06,1999
Midnight Obsession ,Midnight,Melinda Leigh ,Suspence/Thriller,4.32,15829,380,10,2017-03-01,2017
Desperation in Death ,In Death,J.D. Robb ,Suspence/Thriller,4.58,22038,1655,5,2022-06-09,2022
One Shot ,Jack Reacher,Lee Child ,Suspence/Thriller,4.23,112816,4062,9,2005-10-07,2005
I Am Pilgrim,-,Terry Hayes,Suspence/Thriller,4.29,164913,13048,55,2013-07-18,2013
Amazonia,-,James Rollins ,Suspence/Thriller,4.14,33198,1473,18,2002-03-19,2002
Almost Transparent Blue,-,Ryū Murakami,Suspence/Thriller,3.29,10975,1000,7,1976-09-07,1976
Dexter in the Dark ,Dexter,Jeff Lindsay ,Suspence/Thriller,3.57,36500,2153,7,2006-01-01,2006
The Unlikely Spy,-,Daniel Silva,Suspence/Thriller,4.25,25022,1104,13,1996-12-24,1996
The Turn of the Screw,-,Henry James,Suspence/Thriller,3.39,152535,13364,5,1898-01-01,1898
Last Exit to Brooklyn,-,Hubert Selby Jr.,Suspence/Thriller,3.92,26903,1537,9,1964-01-01,1964
Executive Orders ,Jack Ryan,Tom Clancy,Suspence/Thriller,4.1,50257,799,59,1996-12-08,1996
Point of Impact ,Bob Lee Swagger,Stephen Hunter ,Suspence/Thriller,4.28,17616,856,9,1993-01-02,1993
Dr. Jekyll and Mr. Hyde,-,Robert Louis Stevenson,Suspence/Thriller,3.83,563707,22023,17,1886-05-01,1886
Nocturnal Meetings of the Misplaced,-,R.J. Garcia ,Suspence/Thriller,4.41,107,69,5,2018-01-01,2018
The Mysterious Affair at Styles ,Hercule Poirot,Agatha Christie,Suspence/Thriller,4.0,410213,15512,12,1920-01-01,1920
Gone for Good,-,Harlan Coben ,Suspence/Thriller,4.11,62321,3420,5,2002-01-01,2002
The Killer Inside Me,-,Jim Thompson,Suspence/Thriller,3.86,23075,1710,17,1952-03-13,1952
Catching Fire ,The Hunger Games,Suzanne Collins,Suspence/Thriller,4.32,3469864,120724,59,2009-01-09,2009
The Emperor's Tomb ,Cotton Malone,Steve Berry ,Suspence/Thriller,3.97,20271,1019,9,2010-11-23,2010
Mr. Mercedes ,Bill Hodges Trilogy,Stephen King ,Suspence/Thriller,4.01,311713,20795,7,2014-03-06,2014
The Terminal List ,Terminal List,Jack Carr ,Suspence/Thriller,4.27,48147,3664,5,2018-06-03,2018
Midnight Exposure ,Midnight,Melinda Leigh ,Suspence/Thriller,4.12,23873,732,10,2012-08-21,2012
The Haunting of Hill House,-,Shirley Jackson,Suspence/Thriller,3.82,291305,28002,5,1959-10-16,1959
The Bedroom Secrets of the Master Chefs,-,Irvine Welsh,Suspence/Thriller,3.53,6732,289,8,2006-01-01,2006
The Chamber,-,John Grisham ,Suspence/Thriller,3.84,139203,2107,19,1994-01-05,1994
Burning Evidence: A Legal Thriller filled with Gripping Courtroom Drama ,Small Town Lawyer Book,Peter Kirkland,Suspence/Thriller,4.28,696,24,53,2023-10-26,2023
Into the Water,-,Paula Hawkins ,Suspence/Thriller,3.59,382041,28897,8,2017-02-05,2017
River of Darkness ,John Madden,Rennie Airth,Suspence/Thriller,3.95,8542,740,9,1999-01-01,1999
Scent of the Dragon,-,Anthony Hulse ,Suspence/Thriller,4.7,90,8,10,2014-04-08,2014
The Wasp Factory,-,Iain Banks,Suspence/Thriller,3.78,95472,6159,58,1984-01-01,1984
Brain Damage,-,Freida McFadden ,Suspence/Thriller,4.16,40996,2035,5,2016-04-28,2016
The Enemy ,"Jack Reacher, #8; Chron",Lee Child ,Suspence/Thriller,4.17,131737,3684,21,2004-11-05,2004
Listen To Me ,Rizzoli & Isles,Tess Gerritsen ,Suspence/Thriller,4.17,15444,1366,6,2022-05-07,2022
Riptide - Mörderische Flut,-,Douglas Preston ,Suspence/Thriller,3.97,19549,805,7,1998-01-06,1998
The Kill Artist ,Gabriel Allon,Daniel Silva,Suspence/Thriller,4.02,81763,2869,11,2000-12-19,2000
Water for Elephants,-,Sara Gruen ,Suspence/Thriller,4.11,1596625,62062,8,2006-05-22,2006
The Hard Way ,Jack Reacher,Lee Child ,Suspence/Thriller,4.19,81274,3372,15,2006-05-16,2006
It,-,Stephen King ,Suspence/Thriller,4.25,1084021,35079,59,1986-09-15,1986
Living Dead in Dallas ,Sookie Stackhouse,Charlaine Harris ,Suspence/Thriller,3.96,251242,7543,7,2002-03-26,2002
Catch Me ,Detective D.D. Warren,Lisa Gardner ,Suspence/Thriller,4.2,39136,2479,6,2012-07-02,2012
The Perfect Husband/The Other Daughter,-,Lisa Gardner ,Suspence/Thriller,4.28,1777,33,12,2003-01-01,2003
Excavation,-,James Rollins ,Suspence/Thriller,4.05,19995,764,16,2000-03-07,2000
Sometimes a Great Notion,-,Ken Kesey,Suspence/Thriller,4.25,22264,1508,5,1964-01-01,1964
Filth,-,Irvine Welsh,Suspence/Thriller,3.81,29528,1161,7,1998-01-01,1998
The Closers ,"Harry Bosch, #11; Harry Bosch Universe",Michael Connelly ,Suspence/Thriller,4.17,55322,2234,15,2005-01-05,2005
The Rules of Attraction,-,Bret Easton Ellis,Suspence/Thriller,3.72,46642,1938,8,1987-01-09,1987
The Southern Lawyer ,Joe Hennessy Legal Thriller,Peter O'Mahoney ,Suspence/Thriller,4.23,15090,240,52,2022-02-28,2022
Murder Most Immoral,-,Anthony Hulse ,Suspence/Thriller,3.75,1434,3,6,2016-07-09,2016
Two Kinds of Truth ,"Harry Bosch, #20; Harry Bosch Universe",Michael Connelly ,Suspence/Thriller,4.28,62677,4112,7,2017-10-31,2017
In Search of Captain Zero: A Surfer's Road Trip Beyond the End of the Road,-,Allan C. Weisbecker,Suspence/Thriller,4.11,2466,195,5,2001-01-01,2001
The Cure,-,Antoine Maurice Devine ,Suspence/Thriller,3.47,15,4,14,2009-01-01,2009
Gorky Park ,Arkady Renko,Martin Cruz Smith,Suspence/Thriller,4.04,67592,1429,12,1981-01-01,1981
Love You More ,"Tessa Leoni, #1; Detective D.D. Warren",Lisa Gardner ,Suspence/Thriller,4.18,51275,3396,7,2011-08-03,2011
The Black Ice ,"Harry Bosch, #2; Harry Bosch Universe",Michael Connelly ,Suspence/Thriller,4.11,81952,3056,61,1993-01-12,1993
Ubik,-,Philip K. Dick,Suspence/Thriller,4.11,106162,6067,9,1969-01-05,1969
The Eighth Sister ,Charles Jenkins,Robert Dugoni ,Suspence/Thriller,4.2,36523,2036,5,2019-09-04,2019
Cell,-,Stephen King ,Suspence/Thriller,3.66,220769,7459,17,2006-01-24,2006
Arctic Drift ,Dirk Pitt,Clive Cussler,Suspence/Thriller,3.95,14672,718,6,2008-11-25,2008
Tampa,-,Alissa Nutting ,Suspence/Thriller,3.41,33754,6768,11,2013-02-07,2013
Dislocated ,Mad Mick,Franklin Horton,Suspence/Thriller,4.54,753,36,51,2023-10-31,2023
Nemesis ,Harry Hole,Jo Nesbø ,Suspence/Thriller,3.98,74160,3284,6,2002-01-01,2002
The Russia House,-,John le Carré,Suspence/Thriller,3.91,24698,596,11,1989-05-22,1989
The Asset ,Lance Spector,Saul Herzog ,Suspence/Thriller,4.29,9537,328,50,2020-10-04,2020
The Snowman ,Harry Hole,Jo Nesbø ,Suspence/Thriller,4.02,136577,10022,19,2007-08-19,2007
The God Complex,-,Chris Titus ,Suspence/Thriller,3.72,1585,42,4,2011-06-23,2011
Dare Me,-,Megan Abbott ,Suspence/Thriller,3.23,28465,3911,8,2012-10-05,2012
The Butcher's Boy ,Butcher's Boy,Thomas Perry ,Suspence/Thriller,3.95,7391,578,12,1982-01-01,1982
Night Owl ,Trasker,Andrew Mayne ,Suspence/Thriller,4.19,6642,291,50,2023-10-17,2023
Phantoms,-,Dean Koontz ,Suspence/Thriller,3.96,72892,1892,6,1983-01-01,1983
The Third Option ,Mitch Rapp,Vince Flynn,Suspence/Thriller,4.27,45632,1345,9,2000-10-31,2000
"Nocturne, Opus 1: Sea Foam",-,Norene Moskalski ,Suspence/Thriller,3.76,1450,14,4,2012-10-30,2012
Whip Hand ,Sid Halley,Dick Francis,Suspence/Thriller,4.15,7099,266,9,1979-01-01,1979
The Moroni Deception,-,Jack L. Brody ,Suspence/Thriller,3.44,193,33,14,2012-07-31,2012
The Judas Strain ,Sigma Force,James Rollins ,Suspence/Thriller,4.17,32591,1404,6,2007-02-07,2007
Faithless ,Grant County,Karin Slaughter ,Suspence/Thriller,4.11,41774,1617,12,2005-08-30,2005
False Step,-,Victoria Helen Stone ,Suspence/Thriller,3.61,17116,1114,6,2019-01-07,2019
Hidden Depths ,Hanne Drais,Ally Rose,Suspence/Thriller,4.08,40,2,4,2012-11-18,2012
Death Leaves a Shadow ,Marlowe Black Mystery,Gabriel F.W. Koch ,Suspence/Thriller,4.3,16399,40,54,2020-09-06,2020
"Liars, Inc.",-,Paula Stokes ,Suspence/Thriller,3.58,5811,842,14,2015-03-24,2015
Johnny Fracture,-,Waheed Ibne Musa ,Suspence/Thriller,4.34,32,18,4,2014-12-24,2014
The Escape Room,-,Megan Goldin ,Suspence/Thriller,3.84,38639,6095,6,2019-07-30,2019
Society for Supper,-,TyCobbsTeeth ,Suspence/Thriller,4.58,53,20,7,2015-02-19,2015
The Alienist ,Dr. Laszlo Kreizler,Caleb Carr ,Suspence/Thriller,4.06,171954,8443,11,1994-03-15,1994
State of Fear,-,Michael Crichton,Suspence/Thriller,3.7,86564,3689,54,1987-01-12,1987
The White Man and the Pachinko Girl,-,Vann Chow ,Suspence/Thriller,3.25,102,22,4,2016-01-20,2016
"Deadly Pretty Strangers: One dead body, one bereaved mother, one small favour ...",-,Max Thorn,Suspence/Thriller,4.31,39,15,7,2017-12-11,2017
Caught,-,Harlan Coben ,Suspence/Thriller,4.0,69145,4809,8,2010-02-25,2010
The Drowned World,-,J.G. Ballard,Suspence/Thriller,3.48,18063,1447,7,1962-06-30,1962
Lunar Options,-,T.R. Locke ,Suspence/Thriller,4.15,34,15,4,2016-11-05,2016
Dark Horse ,Elena Estes,Tami Hoag ,Suspence/Thriller,3.83,10647,460,5,2002-08-27,2002
Tree of Smoke,-,Denis Johnson,Suspence/Thriller,3.6,13568,1446,11,2004-04-09,2004
Grimm Up North ,DCI Harry Grimm,David J. Gatward ,Suspence/Thriller,4.25,11237,479,14,2020-08-07,2020
Requiem for a Dream,-,Hubert Selby Jr.,Suspence/Thriller,4.1,59945,1749,53,1978-01-01,1978
"In a Dark, Dark Wood",-,Ruth Ware ,Suspence/Thriller,3.72,341976,26609,8,2015-07-30,2015
Ham on Rye,-,Charles Bukowski,Suspence/Thriller,4.15,104210,5034,7,1982-01-09,1982
A Darkness More Than Night ,"Harry Bosch, #7; Harry Bosch Universe",Michael Connelly ,Suspence/Thriller,4.15,59032,2298,22,2000-08-11,2000
Blindsighted ,Grant County,Karin Slaughter ,Suspence/Thriller,4.1,95944,5110,54,2001-01-05,2001
Naked in Death ,In Death,J.D. Robb ,Suspence/Thriller,4.13,190511,7534,7,1995-01-07,1995
The Ice Limit - La barrière de glace ,Ice Limit,Douglas Preston ,Suspence/Thriller,4.0,21384,905,6,2000-07-18,2000
Paper Targets: Art Can Be Murder,-,Steve S. Saroff ,Suspence/Thriller,4.2,337,217,7,2022-02-02,2022
Polar Star ,Arkady Renko,Martin Cruz Smith,Suspence/Thriller,3.98,10751,453,6,1989-06-13,1989
Winter Study ,Anna Pigeon,Nevada Barr,Suspence/Thriller,3.86,8900,873,12,2008-01-01,2008
Factotum,-,Charles Bukowski,Suspence/Thriller,3.93,68933,2565,52,1975-01-01,1975
The Handmaid’s Tale ,The Handmaid's Tale,Margaret Atwood ,Suspence/Thriller,4.13,1997434,94050,7,1985-01-01,1985
Esther's Sling,-,Ben Brunson ,Suspence/Thriller,4.44,27,5,7,2013-01-05,2013
The 9th Judgment  ,Women's Murder Club,James Patterson ,Suspence/Thriller,4.14,53284,2111,7,2010-07-05,2010
The Empty Chair ,Lincoln Rhyme,Jeffery Deaver ,Suspence/Thriller,4.07,30553,1116,13,2000-09-05,2000
Rogue Genesis ,Shimmer in the Dark,Ceri London ,Suspence/Thriller,4.41,155,32,14,2013-10-07,2013
Mad Love ,DCYE,Lynessa Layne ,Suspence/Thriller,4.27,164,12,4,2020-11-15,2020
Skagboys ,Mark Renton,Irvine Welsh,Suspence/Thriller,4.04,16235,733,53,2012-04-19,2012
The Neighbor ,Detective D.D. Warren,Lisa Gardner ,Suspence/Thriller,4.09,44130,3038,13,2009-04-06,2009
Defending Jacob,-,William Landay ,Suspence/Thriller,4.0,295775,23393,16,2012-01-31,2012
Lunar Park,-,Bret Easton Ellis,Suspence/Thriller,3.64,28570,1269,52,2005-08-16,2005
The Kind Worth Killing ,Henry Kimball/Lily Kintner,Peter  Swanson ,Suspence/Thriller,4.01,176534,19049,6,2015-03-02,2015
Undone ,Will Trent,Karin Slaughter ,Suspence/Thriller,4.22,62363,3083,9,2009-07-15,2009
Feel Me,-,James  Hudson ,Suspence/Thriller,4.16,32,8,4,2021-05-23,2021
House of Spies ,Gabriel Allon,Daniel Silva,Suspence/Thriller,4.3,31501,1918,15,2017-11-07,2017
Brazen Violations ,Betts & Walker Book,Jonathan Macpherson ,Suspence/Thriller,4.11,144,22,9,2016-07-24,2016
Dark Guardian ,Dark Guardian,Ammar Habib ,Suspence/Thriller,4.21,5326,541,7,2014-07-24,2014
The Coffin Dancer ,Lincoln Rhyme,Jeffery Deaver ,Suspence/Thriller,4.16,51644,1455,55,1998-08-15,1998
The Cruelest Month ,Chief Inspector Armand Gamache,Louise Penny ,Suspence/Thriller,4.15,99752,6888,7,2007-01-01,2007
Deep Creek,-,Dana Hand ,Suspence/Thriller,3.82,1177,116,14,2010-01-01,2010
Staged Fright ,Bodies,Sameer Ketkar ,Suspence/Thriller,3.71,75,39,4,2013-06-26,2013
Arctic Storm Rising ,Nick Flynn,Dale Brown ,Suspence/Thriller,4.3,4865,257,7,2021-05-25,2021
Cocaine Nights,-,J.G. Ballard,Suspence/Thriller,3.56,6042,330,10,1996-01-01,1996
The Skull Beneath the Skin ,Cordelia Gray,P.D. James,Suspence/Thriller,3.78,8559,449,7,1982-01-01,1982
Never,-,Ken Follett ,Suspence/Thriller,4.08,53369,4374,48,2021-09-11,2021
Sharp Objects,-,Gillian Flynn ,Suspence/Thriller,4.02,1007128,63258,15,2006-09-26,2006
Marsh Island ,Hirebomber Crime Series,Oliver F. Chase ,Suspence/Thriller,4.27,11,4,4,2013-11-22,2013
The Good Girl,-,Mary Kubica ,Suspence/Thriller,3.82,241932,17831,12,2014-01-01,2014
Odd Hours ,Odd Thomas,Dean Koontz ,Suspence/Thriller,3.96,46915,2453,6,2008-01-01,2008
The Hive,-,Gregg Olsen ,Suspence/Thriller,3.83,19425,1170,7,2021-08-06,2021
11/22/63,-,Stephen King ,Suspence/Thriller,4.33,528919,46821,11,2011-08-11,2011
Trainspotting ,Mark Renton,Irvine Welsh,Suspence/Thriller,4.1,165998,3855,53,1993-01-01,1993
Netwars: The Code ,netwars,M. Sean Coleman ,Suspence/Thriller,3.88,101,18,4,2014-08-10,2014
The Paris Vendetta ,Cotton Malone,Steve Berry ,Suspence/Thriller,3.94,18591,883,6,2009-01-12,2009
Interview with the Vampire ,The Vampire Chronicles,Anne Rice,Suspence/Thriller,4.02,579578,15638,8,1976-12-04,1976
Terminal Freeze ,Jeremy Logan,Lincoln Child,Suspence/Thriller,3.82,17848,1029,13,2008-12-24,2008
Imperial Bedrooms,-,Bret Easton Ellis,Suspence/Thriller,3.19,18755,1417,6,2010-06-15,2010
Gone ,FBI Profiler,Lisa Gardner ,Suspence/Thriller,4.19,45430,1126,49,2006-01-31,2006
Guardian of Time ,The Prophecies,Linda Hawley ,Suspence/Thriller,4.11,161,23,7,2011-10-27,2011
The Templar Legacy ,Cotton Malone,Steve Berry ,Suspence/Thriller,3.84,52911,2508,12,2006-02-21,2006
The Surgeon,-,Leslie Wolfe ,Suspence/Thriller,3.96,28380,1700,7,2023-03-28,2023
The Fever,-,Megan Abbott ,Suspence/Thriller,3.1,25106,3208,10,2014-06-17,2014
Caged,-,Onaiza Khan,Suspence/Thriller,3.39,82,35,9,2016-11-11,2016
The Book of Strange New Things,-,Michel Faber,Science Fiction,3.66,31202,4466,17,2014-06-10,2014
Star Realms: Rescue Run,-,Jon Del Arroz ,Science Fiction,3.82,120,27,6,2016-10-30,2016
Idoru ,Bridge,William Gibson,Science Fiction,3.83,23768,662,10,1996-04-09,1996
Feed ,Newsflesh,Mira Grant,Science Fiction,3.85,58473,6859,24,2010-10-04,2010
The City and the Stars,-,Arthur C. Clarke,Science Fiction,4.08,33429,1427,97,1956-01-27,1956
Dominion,-,Scott McElhaney ,Science Fiction,3.79,152,10,10,2013-09-27,2013
Sundiver ,The Uplift Saga,David Brin ,Science Fiction,3.69,26339,866,56,1980-01-01,1980
Dune ,Dune,Frank Herbert,Science Fiction,4.26,1295947,58116,1508,1965-01-06,1965
The Running Man,-,Richard Bachman ,Science Fiction,3.89,130253,5102,10,1982-01-05,1982
Ancillary Mercy ,Imperial Radch,Ann Leckie ,Science Fiction,4.21,43270,3372,26,2015-06-10,2015
An Absolutely Remarkable Thing ,The Carls,Hank Green ,Science Fiction,4.04,112812,17251,7,2018-09-25,2018
To Your Scattered Bodies Go ,Riverworld,Philip José Farmer,Science Fiction,3.94,31933,1099,98,1971-01-01,1971
Ender’s Game ,Ender's Saga,Orson Scott Card,Science Fiction,4.31,1355283,49034,1272,1985-01-15,1985
Rama II ,Rama,Arthur C. Clarke,Science Fiction,3.7,26700,886,17,1989-01-11,1989
More Than This,-,Patrick Ness,Science Fiction,3.95,65153,8456,11,2013-01-09,2013
Death's End ,Remembrance of Earth’s Past,Liu Cixin ,Science Fiction,4.43,103506,9485,23,2010-01-11,2010
The Fountains of Paradise,-,Arthur C. Clarke,Science Fiction,3.95,29683,875,52,1979-01-01,1979
A Million Suns ,Across the Universe,Beth Revis ,Science Fiction,4.01,54047,4106,9,2012-10-01,2012
The Hitchhiker’s Guide to the Galaxy ,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction,4.23,1810032,43910,1138,1979-12-10,1979
WWW: Wake ,WWW,Robert J. Sawyer ,Science Fiction,3.82,8156,869,7,2009-07-04,2009
Black Hole ,Colonization,Scott McElhaney ,Science Fiction,4.11,36,2,10,2015-11-09,2015
The Naked Sun ,Robot,Isaac Asimov,Science Fiction,4.18,55902,2172,103,1958-01-01,1958
The Vor Game ,Vorkosigan Saga,Lois McMaster Bujold ,Science Fiction,4.27,25053,1008,27,1990-01-01,1990
Calculating God,-,Robert J. Sawyer ,Science Fiction,3.86,9645,894,9,2000-03-06,2000
A Civil Campaign ,Vorkosigan Saga,Lois McMaster Bujold ,Science Fiction,4.4,19013,965,17,1999-01-01,1999
1984,-,George Orwell,Science Fiction,4.19,4472883,110920,1075,1949-08-06,1949
Trouble on Triton: An Ambiguous Heterotopia,-,Samuel R. Delany,Science Fiction,3.7,2135,237,8,1976-01-02,1976
